unixtime,Price
1662372000,0.25001
1662375600,0.18256
1662379200,0.2041
1662382800,0.26737
1662386400,0.34651
1662390000,0.48705
1662393600,0.56427
1662397200,0.60162
1662400800,0.52303
1662404400,0.42015
1662408000,0.30949
1662411600,0.22545
1662415200,0.27351
1662418800,0.29829
1662422400,0.27568
1662426000,0.28287
1662429600,0.28675
1662433200,0.34091
1662436800,0.51303
1662440400,0.55388
1662444000,0.56175
1662447600,0.47846
1662451200,0.43107
1662454800,0.30449
1662458400,0.25517
1662462000,0.2671
1662465600,0.27992
1662469200,0.36397
1662472800,0.44333
1662476400,0.52581
1662480000,0.56444
1662483600,0.63397
1662487200,0.594
1662490800,0.53003
1662494400,0.48481
1662498000,0.47121
1662501600,0.41526
1662505200,0.38407
1662508800,0.36745
1662512400,0.36611
1662516000,0.38767
1662519600,0.39401
1662523200,0.48468
1662526800,0.5199
1662530400,0.52477
1662534000,0.50118
1662537600,0.46994
1662541200,0.45038
1662544800,0.39298
1662548400,0.39039
1662552000,0.39665
1662555600,0.39997
1662559200,0.44533
1662562800,0.52175
1662566400,0.57675
1662570000,0.63349
1662573600,0.59998
1662577200,0.5513
1662580800,0.48644
1662584400,0.43887
1662588000,0.44212
1662591600,0.40783
1662595200,0.40035
1662598800,0.38207
1662602400,0.37929
1662606000,0.40413
1662609600,0.50091
1662613200,0.52
1662616800,0.52406
1662620400,0.50998
1662624000,0.48369
1662627600,0.45556
1662631200,0.4329
1662634800,0.39993
1662638400,0.39284
1662642000,0.39496
1662645600,0.40304
1662649200,0.45015
1662652800,0.50491
1662656400,0.52582
1662660000,0.51024
1662663600,0.47991
1662667200,0.39455
1662670800,0.34517
1662674400,0.30001
1662678000,0.2382
1662681600,0.20501
1662685200,0.1926
1662688800,0.22687
1662692400,0.2787
1662696000,0.37558
1662699600,0.431
1662703200,0.43146
1662706800,0.40174
1662710400,0.35307
1662714000,0.32986
1662717600,0.33976
1662721200,0.29247
1662724800,0.29388
1662728400,0.29102
1662732000,0.36423
1662735600,0.39
1662739200,0.43531
1662742800,0.46735
1662746400,0.465
1662750000,0.41995
1662753600,0.39829
1662757200,0.37544
1662760800,0.40085
1662764400,0.35909
1662768000,0.35209
1662771600,0.34807
1662775200,0.34809
1662778800,0.35604
1662782400,0.3813
1662786000,0.41107
1662789600,0.42772
1662793200,0.42918
1662796800,0.4199
1662800400,0.41836
1662804000,0.39998
1662807600,0.355
1662811200,0.34899
1662814800,0.35339
1662818400,0.37198
1662822000,0.43624
1662825600,0.46952
1662829200,0.49186
1662832800,0.48398
1662836400,0.45995
1662840000,0.44397
1662843600,0.43701
1662847200,0.42145
1662850800,0.38507
1662854400,0.38506
1662858000,0.36922
1662861600,0.35854
1662865200,0.36902
1662868800,0.37902
1662872400,0.38501
1662876000,0.40213
1662879600,0.40213
1662883200,0.3885
1662886800,0.38004
1662890400,0.36
1662894000,0.295
1662897600,0.2518
1662901200,0.297
1662904800,0.3431
1662908400,0.40432
1662912000,0.45999
1662915600,0.50594
1662919200,0.5172
1662922800,0.48494
1662926400,0.45126
1662930000,0.4
1662933600,0.34709
1662937200,0.35548
1662940800,0.355
1662944400,0.3499
1662948000,0.35339
1662951600,0.38905
1662955200,0.46611
1662958800,0.50268
1662962400,0.50229
1662966000,0.45897
1662969600,0.40502
1662973200,0.35935
1662976800,0.35133
1662980400,0.32991
1662984000,0.33694
1662987600,0.34422
1662991200,0.38597
1662994800,0.47171
1662998400,0.515
1663002000,0.54064
1663005600,0.51564
1663009200,0.44331
1663012800,0.369
1663016400,0.34474
1663020000,0.34506
1663023600,0.29493
1663027200,0.2823
1663030800,0.29504
1663034400,0.30286
1663038000,0.33874
1663041600,0.4211
1663045200,0.44728
1663048800,0.46119
1663052400,0.44978
1663056000,0.42229
1663059600,0.42955
1663063200,0.33595
1663066800,0.32535
1663070400,0.33105
1663074000,0.34496
1663077600,0.36453
1663081200,0.45011
1663084800,0.50346
1663088400,0.52095
1663092000,0.52115
1663095600,0.45913
1663099200,0.42521
1663102800,0.34491
1663106400,0.34508
1663110000,0.32947
1663113600,0.3399
1663117200,0.33564
1663120800,0.34329
1663124400,0.37777
1663128000,0.4686
1663131600,0.50606
1663135200,0.57151
1663138800,0.54508
1663142400,0.50576
1663146000,0.5035
1663149600,0.48502
1663153200,0.45441
1663156800,0.43515
1663160400,0.44828
1663164000,0.48594
1663167600,0.50208
1663171200,0.55097
1663174800,0.63025
1663178400,0.54031
1663182000,0.46034
1663185600,0.42171
1663189200,0.35341
1663192800,0.39163
1663196400,0.33877
1663200000,0.31725
1663203600,0.30187
1663207200,0.27199
1663210800,0.32258
1663214400,0.45
1663218000,0.46556
1663221600,0.5001
1663225200,0.47074
1663228800,0.42061
1663232400,0.37502
1663236000,0.33087
1663239600,0.3025
1663243200,0.29703
1663246800,0.26082
1663250400,0.2747
1663254000,0.36608
1663257600,0.4578
1663261200,0.46419
1663264800,0.46033
1663268400,0.40579
1663272000,0.36446
1663275600,0.25409
1663279200,0.1826
1663282800,0.16373
1663286400,0.14092
1663290000,0.13826
1663293600,0.14259
1663297200,0.21152
1663300800,0.3541
1663304400,0.42107
1663308000,0.446
1663311600,0.33378
1663315200,0.19032
1663318800,0.11186
1663322400,0.08095
1663326000,0.06784
1663329600,0.03819
1663333200,0.04397
1663336800,0.08309
1663340400,0.14992
1663344000,0.31375
1663347600,0.36393
1663351200,0.35
1663354800,0.21956
1663358400,0.16086
1663362000,0.11991
1663365600,0.09262
1663369200,0.08024
1663372800,0.07117
1663376400,0.0802
1663380000,0.07111
1663383600,0.07269
1663387200,0.08224
1663390800,0.086
1663394400,0.09788
1663398000,0.07403
1663401600,0.07955
1663405200,0.06006
1663408800,0.04392
1663412400,0.00509
1663416000,0.00713
1663419600,0.002
1663423200,0.03518
1663426800,0.06672
1663430400,0.1045
1663434000,0.14433
1663437600,0.10636
1663441200,0.07268
1663444800,0.07042
1663448400,0.04428
1663452000,0.02662
1663455600,0.02706
1663459200,0.02219
1663462800,0.02717
1663466400,0.03402
1663470000,0.03159
1663473600,0.022
1663477200,0.06005
1663480800,0.07457
1663484400,0.06795
1663488000,0.07255
1663491600,0.07246
1663495200,0.06849
1663498800,0.03537
1663502400,0.02002
1663506000,0.03397
1663509600,0.04793
1663513200,0.08173
1663516800,0.1825
1663520400,0.20192
1663524000,0.21468
1663527600,0.18275
1663531200,0.1495
1663534800,0.11328
1663538400,0.08382
1663542000,0.09702
1663545600,0.08428
1663549200,0.08389
1663552800,0.09833
1663556400,0.1694
1663560000,0.34487
1663563600,0.40003
1663567200,0.41538
1663570800,0.355
1663574400,0.32598
1663578000,0.23069
1663581600,0.19078
1663585200,0.15335
1663588800,0.17013
1663592400,0.21541
1663596000,0.22815
1663599600,0.35
1663603200,0.40743
1663606800,0.44205
1663610400,0.42005
1663614000,0.375
1663617600,0.34268
1663621200,0.29669
1663624800,0.26177
1663628400,0.2601
1663632000,0.27539
1663635600,0.26247
1663639200,0.2601
1663642800,0.2783
1663646400,0.375
1663650000,0.433
1663653600,0.44076
1663657200,0.40165
1663660800,0.36415
1663664400,0.3443
1663668000,0.31848
1663671600,0.30678
1663675200,0.30831
1663678800,0.32561
1663682400,0.35569
1663686000,0.4207
1663689600,0.46905
1663693200,0.58061
1663696800,0.5081
1663700400,0.4299
1663704000,0.3882
1663707600,0.35378
1663711200,0.3103
1663714800,0.29958
1663718400,0.29954
1663722000,0.29958
1663725600,0.29728
1663729200,0.34094
1663732800,0.42701
1663736400,0.53475
1663740000,0.52771
1663743600,0.42907
1663747200,0.35815
1663750800,0.32162
1663754400,0.29837
1663758000,0.30226
1663761600,0.31138
1663765200,0.33188
1663768800,0.36432
1663772400,0.40674
1663776000,0.47
1663779600,0.57451
1663783200,0.49053
1663786800,0.40366
1663790400,0.37
1663794000,0.34939
1663797600,0.37307
1663801200,0.33941
1663804800,0.33008
1663808400,0.31094
1663812000,0.3222
